7.836902321e-02 5.786755518e-04 -3.175253504e-04 -5.986033940e-04 -6.130202414e-04 -6.151101061e-04 -6.410369909e-04 -6.607426918e-04 -6.996709825e-04 -7.103599902e-04 
5.786755518e-04 8.377586988e-03 1.716542423e-03 6.030862632e-04 5.413190918e-04 5.307076545e-04 4.085295405e-04 3.211609101e-04 1.131122393e-04 5.222333068e-05 
-3.175253504e-04 1.716542423e-03 5.327615180e-03 1.445425282e-03 1.314986844e-03 1.287128053e-03 1.002402756e-03 8.562414687e-04 4.560244683e-04 3.381259048e-04 
-5.986033940e-04 6.030862632e-04 1.445425282e-03 3.961000281e-03 2.970172902e-03 2.816905401e-03 1.998127971e-03 1.715265297e-03 9.645181351e-04 7.523151132e-04 
-6.130202414e-04 5.413190918e-04 1.314986844e-03 2.970172902e-03 3.851315958e-03 3.555336080e-03 2.070111182e-03 1.860010020e-03 1.039618246e-03 8.064988096e-04 
-6.151101061e-04 5.307076545e-04 1.287128053e-03 2.816905401e-03 3.555336080e-03 3.826587450e-03 2.068187577e-03 1.901909704e-03 1.059642295e-03 8.189115584e-04 
-6.410369909e-04 4.085295405e-04 1.002402756e-03 1.998127971e-03 2.070111182e-03 2.068187577e-03 3.570953590e-03 2.269046791e-03 1.235685851e-03 9.758264051e-04 
-6.607426918e-04 3.211609101e-04 8.562414687e-04 1.715265297e-03 1.860010020e-03 1.901909704e-03 2.269046791e-03 3.426685728e-03 1.374998813e-03 1.067140152e-03 
-6.996709825e-04 1.131122393e-04 4.560244683e-04 9.645181351e-04 1.039618246e-03 1.059642295e-03 1.235685851e-03 1.374998813e-03 2.923219845e-03 1.733997197e-03 
-7.103599902e-04 5.222333068e-05 3.381259048e-04 7.523151132e-04 8.064988096e-04 8.189115584e-04 9.758264051e-04 1.067140152e-03 1.733997197e-03 2.736741199e-03 
