#           k/h    P           
   0.420980E-02   0.134053E+05
   0.429484E-02   0.135996E+05
   0.438160E-02   0.137947E+05
   0.447012E-02   0.139906E+05
   0.456042E-02   0.141874E+05
   0.465255E-02   0.143852E+05
   0.474653E-02   0.145842E+05
   0.484242E-02   0.147845E+05
   0.494024E-02   0.149862E+05
   0.504004E-02   0.151895E+05
   0.514186E-02   0.153944E+05
   0.524573E-02   0.156010E+05
   0.535170E-02   0.158091E+05
   0.545981E-02   0.160185E+05
   0.557011E-02   0.162290E+05
   0.568263E-02   0.164404E+05
   0.579743E-02   0.166525E+05
   0.591455E-02   0.168650E+05
   0.603403E-02   0.170778E+05
   0.615592E-02   0.172906E+05
   0.628028E-02   0.175032E+05
   0.640715E-02   0.177154E+05
   0.653658E-02   0.179271E+05
   0.666863E-02   0.181383E+05
   0.680335E-02   0.183487E+05
   0.694078E-02   0.185584E+05
   0.708100E-02   0.187673E+05
   0.722404E-02   0.189751E+05
   0.736998E-02   0.191819E+05
   0.751886E-02   0.193874E+05
   0.767075E-02   0.195917E+05
   0.782571E-02   0.197945E+05
   0.798380E-02   0.199956E+05
   0.814509E-02   0.201948E+05
   0.830963E-02   0.203920E+05
   0.847750E-02   0.205870E+05
   0.864875E-02   0.207795E+05
   0.882347E-02   0.209693E+05
   0.900171E-02   0.211562E+05
   0.918356E-02   0.213400E+05
   0.936908E-02   0.215204E+05
   0.955835E-02   0.216973E+05
   0.975144E-02   0.218705E+05
   0.994843E-02   0.220398E+05
   0.101494E-01   0.222049E+05
   0.103544E-01   0.223656E+05
   0.105636E-01   0.225218E+05
   0.107770E-01   0.226733E+05
   0.109947E-01   0.228198E+05
   0.112168E-01   0.229611E+05
   0.114434E-01   0.230971E+05
   0.116746E-01   0.232274E+05
   0.119104E-01   0.233515E+05
   0.121510E-01   0.234692E+05
   0.123965E-01   0.235801E+05
   0.126469E-01   0.236836E+05
   0.129024E-01   0.237795E+05
   0.131631E-01   0.238674E+05
   0.134290E-01   0.239468E+05
   0.137003E-01   0.240174E+05
   0.139770E-01   0.240788E+05
   0.142594E-01   0.241310E+05
   0.145474E-01   0.241742E+05
   0.148413E-01   0.242086E+05
   0.151411E-01   0.242344E+05
   0.154470E-01   0.242517E+05
   0.157590E-01   0.242608E+05
   0.160774E-01   0.242619E+05
   0.164022E-01   0.242552E+05
   0.167335E-01   0.242410E+05
   0.170716E-01   0.242195E+05
   0.174164E-01   0.241900E+05
   0.177683E-01   0.241517E+05
   0.181272E-01   0.241036E+05
   0.184934E-01   0.240447E+05
   0.188670E-01   0.239742E+05
   0.192481E-01   0.238912E+05
   0.196370E-01   0.237948E+05
   0.200337E-01   0.236843E+05
   0.204384E-01   0.235588E+05
   0.208513E-01   0.234178E+05
   0.212725E-01   0.232614E+05
   0.217022E-01   0.230904E+05
   0.221406E-01   0.229054E+05
   0.225879E-01   0.227072E+05
   0.230442E-01   0.224964E+05
   0.235097E-01   0.222739E+05
   0.239847E-01   0.220403E+05
   0.244692E-01   0.217965E+05
   0.249635E-01   0.215431E+05
   0.254678E-01   0.212809E+05
   0.259823E-01   0.210108E+05
   0.265072E-01   0.207339E+05
   0.270426E-01   0.204513E+05
   0.275889E-01   0.201638E+05
   0.281463E-01   0.198724E+05
   0.287149E-01   0.195780E+05
   0.292949E-01   0.192815E+05
   0.298867E-01   0.189837E+05
   0.304905E-01   0.186855E+05
   0.311064E-01   0.183874E+05
   0.317348E-01   0.180894E+05
   0.323759E-01   0.177911E+05
   0.330299E-01   0.174920E+05
   0.336972E-01   0.171916E+05
   0.343779E-01   0.168897E+05
   0.350724E-01   0.165859E+05
   0.357809E-01   0.162800E+05
   0.365038E-01   0.159717E+05
   0.372412E-01   0.156608E+05
   0.379935E-01   0.153474E+05
   0.387610E-01   0.150331E+05
   0.395440E-01   0.147205E+05
   0.403429E-01   0.144120E+05
   0.411579E-01   0.141097E+05
   0.419893E-01   0.138156E+05
   0.428375E-01   0.135315E+05
   0.437029E-01   0.132591E+05
   0.445858E-01   0.129999E+05
   0.454865E-01   0.127552E+05
   0.464053E-01   0.125261E+05
   0.473428E-01   0.123120E+05
   0.482992E-01   0.121110E+05
   0.492749E-01   0.119218E+05
   0.502703E-01   0.117428E+05
   0.512858E-01   0.115727E+05
   0.523219E-01   0.114101E+05
   0.533789E-01   0.112539E+05
   0.544572E-01   0.111029E+05
   0.555573E-01   0.109560E+05
   0.566796E-01   0.108121E+05
   0.578246E-01   0.106701E+05
   0.589927E-01   0.105285E+05
   0.601845E-01   0.103863E+05
   0.614003E-01   0.102423E+05
   0.626407E-01   0.100953E+05
   0.639061E-01   0.994441E+04
   0.651971E-01   0.978862E+04
   0.665142E-01   0.962711E+04
   0.678578E-01   0.945908E+04
   0.692287E-01   0.928390E+04
   0.706272E-01   0.910120E+04
   0.720539E-01   0.891086E+04
   0.735095E-01   0.871279E+04
   0.749945E-01   0.850703E+04
   0.765095E-01   0.829364E+04
   0.780551E-01   0.807282E+04
   0.796319E-01   0.784482E+04
   0.812406E-01   0.760998E+04
   0.828817E-01   0.736871E+04
   0.845561E-01   0.712178E+04
   0.862642E-01   0.687256E+04
   0.880068E-01   0.662548E+04
   0.897847E-01   0.638441E+04
   0.915985E-01   0.615268E+04
   0.934489E-01   0.593315E+04
   0.953367E-01   0.572822E+04
   0.972626E-01   0.553991E+04
   0.992274E-01   0.536997E+04
   0.101232E+00   0.521990E+04
   0.103277E+00   0.509071E+04
   0.105363E+00   0.497981E+04
   0.107492E+00   0.488293E+04
   0.109663E+00   0.479618E+04
   0.111879E+00   0.471597E+04
   0.114139E+00   0.463898E+04
   0.116445E+00   0.456207E+04
   0.118797E+00   0.448234E+04
   0.121197E+00   0.439707E+04
   0.123645E+00   0.430381E+04
   0.126143E+00   0.420066E+04
   0.128691E+00   0.408885E+04
   0.131291E+00   0.397117E+04
   0.133943E+00   0.385021E+04
   0.136649E+00   0.372834E+04
   0.139409E+00   0.360767E+04
   0.142226E+00   0.349007E+04
   0.145099E+00   0.337718E+04
   0.148030E+00   0.327040E+04
   0.151020E+00   0.317095E+04
   0.154071E+00   0.307975E+04
   0.157184E+00   0.299611E+04
   0.160359E+00   0.291859E+04
   0.163598E+00   0.284589E+04
   0.166903E+00   0.277684E+04
   0.170275E+00   0.271036E+04
   0.173715E+00   0.264547E+04
   0.177224E+00   0.258128E+04
   0.180804E+00   0.251699E+04
   0.184457E+00   0.245187E+04
   0.188183E+00   0.238537E+04
   0.191985E+00   0.231786E+04
   0.195863E+00   0.225012E+04
   0.199820E+00   0.218287E+04
   0.203856E+00   0.211678E+04
   0.207974E+00   0.205241E+04
   0.212176E+00   0.199027E+04
   0.216462E+00   0.193079E+04
   0.220835E+00   0.187436E+04
   0.225296E+00   0.182130E+04
   0.229847E+00   0.177185E+04
   0.234490E+00   0.172578E+04
   0.239227E+00   0.168259E+04
   0.244060E+00   0.164186E+04
   0.248990E+00   0.160319E+04
   0.254020E+00   0.156622E+04
   0.259152E+00   0.153061E+04
   0.264387E+00   0.149606E+04
   0.269728E+00   0.146229E+04
   0.275177E+00   0.142903E+04
   0.280736E+00   0.139607E+04
   0.286407E+00   0.136342E+04
   0.292193E+00   0.133117E+04
   0.298096E+00   0.129941E+04
   0.304118E+00   0.126823E+04
   0.310261E+00   0.123771E+04
   0.316529E+00   0.120792E+04
   0.322923E+00   0.117892E+04
   0.329447E+00   0.115076E+04
   0.336102E+00   0.112349E+04
   0.342892E+00   0.109715E+04
   0.349819E+00   0.107172E+04
   0.356885E+00   0.104715E+04
   0.364095E+00   0.102341E+04
   0.371450E+00   0.100046E+04
   0.378954E+00   0.978246E+03
   0.386609E+00   0.956748E+03
   0.394419E+00   0.935928E+03
   0.402387E+00   0.915753E+03
   0.410516E+00   0.896193E+03
   0.418809E+00   0.877219E+03
   0.427269E+00   0.858805E+03
   0.435901E+00   0.840927E+03
   0.444706E+00   0.823561E+03
   0.453690E+00   0.806685E+03
   0.462855E+00   0.790277E+03
   0.472206E+00   0.774319E+03
   0.481745E+00   0.758789E+03
   0.491477E+00   0.743671E+03
   0.501405E+00   0.728947E+03
   0.511534E+00   0.714600E+03
   0.521868E+00   0.700615E+03
   0.532411E+00   0.686979E+03
   0.543166E+00   0.673678E+03
   0.554139E+00   0.660701E+03
   0.565333E+00   0.648035E+03
   0.576753E+00   0.635669E+03
   0.588404E+00   0.623592E+03
   0.600291E+00   0.611793E+03
   0.612418E+00   0.600263E+03
   0.624789E+00   0.588990E+03
   0.637411E+00   0.577966E+03
   0.650288E+00   0.567179E+03
   0.663424E+00   0.556619E+03
   0.676826E+00   0.546277E+03
   0.690499E+00   0.536143E+03
   0.704448E+00   0.526208E+03
   0.718679E+00   0.516464E+03
   0.733197E+00   0.506903E+03
   0.748009E+00   0.497518E+03
   0.763119E+00   0.488301E+03
   0.778536E+00   0.479246E+03
   0.794263E+00   0.470346E+03
   0.810308E+00   0.461596E+03
   0.826677E+00   0.452990E+03
   0.843378E+00   0.444523E+03
   0.860415E+00   0.436189E+03
   0.877797E+00   0.427985E+03
   0.895529E+00   0.419905E+03
   0.913620E+00   0.411945E+03
   0.932076E+00   0.404102E+03
   0.950906E+00   0.396371E+03
   0.970115E+00   0.388749E+03
   0.989713E+00   0.381232E+03
   0.100971E+01   0.373818E+03
   0.103010E+01   0.366504E+03
   0.105091E+01   0.359287E+03
   0.107214E+01   0.352165E+03
   0.109380E+01   0.345135E+03
   0.111590E+01   0.338194E+03
   0.113844E+01   0.331341E+03
   0.116144E+01   0.324575E+03
   0.118490E+01   0.317893E+03
   0.120884E+01   0.311294E+03
   0.123326E+01   0.304777E+03
   0.125817E+01   0.298341E+03
   0.128359E+01   0.291985E+03
   0.130952E+01   0.285707E+03
   0.133597E+01   0.279507E+03
   0.136296E+01   0.273385E+03
   0.139049E+01   0.267338E+03
   0.141858E+01   0.261368E+03
   0.144724E+01   0.255473E+03
   0.147648E+01   0.249654E+03
   0.150630E+01   0.243910E+03
   0.153673E+01   0.238242E+03
   0.156778E+01   0.232648E+03
   0.159945E+01   0.227130E+03
   0.163176E+01   0.221686E+03
   0.166472E+01   0.216318E+03
   0.169835E+01   0.211024E+03
   0.173266E+01   0.205806E+03
   0.176766E+01   0.200664E+03
   0.180337E+01   0.195597E+03
   0.183980E+01   0.190607E+03
   0.187697E+01   0.185694E+03
   0.191489E+01   0.180858E+03
   0.195357E+01   0.176099E+03
   0.199304E+01   0.171418E+03
   0.203330E+01   0.166814E+03
   0.207437E+01   0.162289E+03
   0.211628E+01   0.157842E+03
   0.215903E+01   0.153473E+03
   0.220265E+01   0.149184E+03
   0.224714E+01   0.144973E+03
   0.229254E+01   0.140843E+03
   0.233885E+01   0.136792E+03
   0.238610E+01   0.132820E+03
   0.243430E+01   0.128929E+03
   0.248348E+01   0.125117E+03
   0.253365E+01   0.121384E+03
   0.258483E+01   0.117730E+03
   0.263705E+01   0.114156E+03
   0.269032E+01   0.110660E+03
   0.274466E+01   0.107243E+03
   0.280011E+01   0.103904E+03
   0.285668E+01   0.100644E+03
   0.291439E+01   0.974599E+02
   0.297326E+01   0.943530E+02
   0.303332E+01   0.913221E+02
   0.309460E+01   0.883665E+02
   0.315712E+01   0.854856E+02
   0.322090E+01   0.826785E+02
   0.328596E+01   0.799445E+02
   0.335234E+01   0.772826E+02
   0.342006E+01   0.746919E+02
   0.348916E+01   0.721716E+02
   0.355964E+01   0.697204E+02
   0.363155E+01   0.673376E+02
   0.370491E+01   0.650218E+02
   0.377976E+01   0.627721E+02
   0.385611E+01   0.605874E+02
   0.393401E+01   0.584664E+02
